JID,Formula,Dir.gap (eV),Indir. gap (eV),Eff (%)
JVASP-43396,Sr1 Nb3 N1 O7,2.0084,1.8471,20.51909361
JVASP-40793,Sc1 Co1 Te1,1.2786,0.9172,20.51539228
JVASP-35747,Ba2 N1 Cl1,2.1133,2.1095,20.48407484
JVASP-49776,Na3 Cu1 O2,2.0659,1.9824,20.47715306
JVASP-36754,Li1 Au1 O2,1.9509,1.719,20.45625772
JVASP-22547,Ba1 Ga2 Te4,1.656,1.245,20.45163017
JVASP-12878,Cu1 B1 Se2,2.1166,2.1166,20.45143077
JVASP-31190,Ba1 Ga2 Te4,1.6561,1.2449,20.44696673
JVASP-2268,Th1 Te1 O1,0.6258,0.6258,20.40909108
JVASP-28765,Mo1 W1 S4,0.6258,0.6258,20.40909086
JVASP-3048,Yb4 As2 O1,2.029,1.8844,20.38958983
JVASP-3834,K2 Pt1 Br6,2.0328,1.8966,20.37802012
JVASP-3681,Ag2 Hg1 I4,2.1218,2.1218,20.36999697
JVASP-59311,Ba1 Ti1 O3,2.1214,2.1214,20.36999697
JVASP-29556,Ga1 Se1,2.1204,2.1204,20.36999697
JVASP-8728,Ti1 Sn1 Pt1,1.2917,0.9195,20.3500161
JVASP-51358,Tl1 In1 S2,1.3319,0.9331,20.34562362
JVASP-22724,Na1 Li2 Bi1,1.3227,0.931,20.33745112
JVASP-1924,In1 Br1,1.9184,1.6433,20.32292275
JVASP-8651,K2 Pt1 Br4,2.0792,2.0036,20.30161485
JVASP-28578,Mo3 W1 Se4 S4,0.6229,0.6229,20.2914885
JVASP-33896,In1 Ge1 Cl3,2.125,2.125,20.28738541
JVASP-57180,Dy3 Cu1 Sn1 S7,2.1254,2.1254,20.28738541
JVASP-22878,K3 Nb1 Se4,2.1243,2.1243,20.28738541
JVASP-41744,Ac1 Ga1 Te2,1.473,1.047,20.28012122
JVASP-35197,Na8 N1 O3,0.7511,0.6563,20.27796756
JVASP-29165,Mo1 W1 Se2 S2,0.6202,0.6202,20.2319879
JVASP-49940,Er2 Te1 O2,2.0513,1.9278,20.21932592
JVASP-49934,Er1 Tl1 O2,2.1044,2.0529,20.12010658
JVASP-52492,Nb1 N1 O1,1.8728,1.5469,20.11480371
JVASP-8303,Al1 V1 F5,0.7616,0.6578,20.06826799
JVASP-34004,Te4 Mo3 S2,1.304,0.9156,20.04848077
JVASP-30438,Sb2 S2 O1,2.1139,2.0738,20.04736393
JVASP-4858,Tm1 Ag1 P2 Se6,2.0881,2.0086,20.04702751
JVASP-47331,Li3 V1 F8,2.1343,2.1343,20.04238844
JVASP-81,Ga1 Se1,2.1372,2.1372,20.04238844
JVASP-5404,V1 N1 Cl4,0.676,0.6236,20.04071292
JVASP-37124,Pr1 N1,1.972,1.7352,20.02876222
JVASP-9993,Ba1 Y1 Ag1 Se3,2.0011,1.796,20.01507847
JVASP-38113,Y1 W1 N3,2.0916,2.014,20.00168483
JVASP-38113,Y1 W1 N3,2.0916,2.014,20.00168483
JVASP-59088,Rb3 Os2 Br9,0.7732,0.6627,20.00114522
JVASP-2613,K2 Ag1 Sb1,2.07,1.9601,20.00084035
JVASP-60927,K3 As1 Se4,2.1335,2.1229,19.99868817
JVASP-36413,Ba1 Si1 C1,1.0108,0.7479,19.99572601
JVASP-45961,Li1 Si1 P1 C1 O7,2.125,2.0994,19.98479409
JVASP-46049,Ho2 Te1 O2,2.0037,1.8002,19.97979633
JVASP-28538,Mo2 W1 Se2 S4,0.6152,0.6152,19.94045203
JVASP-1023,Te1,0.615,0.615,19.94045203
JVASP-25210,Te1,0.6146,0.6146,19.94045203
JVASP-9075,Sr2 Si1,0.6129,0.6129,19.87293552
JVASP-55288,Sr3 Tb1 Rh1 O6,2.1194,2.0767,19.86225893
JVASP-51636,Nd3 Cu1 Si1 Se7,2.0581,1.9162,19.84555915
JVASP-7629,Sn1 S1,1.2833,0.9011,19.84145147
JVASP-1588,Rb1 Tl1 O2,2.0752,1.9569,19.82704148
JVASP-11382,Rb2 Nb1 Cu1 Se4,2.0108,1.8044,19.82685683
JVASP-50903,Pb2 O3,1.0693,0.7754,19.80981233
JVASP-10475,K2 Nb1 Cu1 Se4,1.9863,1.7482,19.80958454
JVASP-24944,Sm3 Cu1 Sn1 S7,2.147,2.147,19.80860253
JVASP-10570,K1 Sb2 Se4,1.9976,1.7723,19.78302943
JVASP-1699,Th1 Sb1 Rh1,1.0223,0.7495,19.77187941
JVASP-2943,Ta1 Cu3 Te4,1.8865,1.5513,19.7620213
JVASP-28972,Mo1 W1 Se2 S2,0.6104,0.6104,19.75777942
JVASP-3045,K2 Ag1 P1,2.1353,2.1085,19.73128295
JVASP-22545,Li1 Y1 Se2,2.15,2.15,19.7285444
JVASP-7685,Cu2 Hg1 Ge1 S4,0.6089,0.6089,19.70581876
JVASP-36462,Ca3 Bi1 As1,0.6092,0.6092,19.70581876
JVASP-36844,Ag1 Rh1 O2,0.9506,0.7078,19.69166376
JVASP-57037,Ho1 Cu1 S2,2.1207,2.0618,19.66968527
JVASP-8247,Ni1 O2,0.9611,0.7128,19.66535025
JVASP-30559,Ni1 O2,0.9611,0.7128,19.66535025
JVASP-890,Ge1,0.6063,0.6063,19.65212445
JVASP-36243,Rb1 Cu1 O1,0.6065,0.6065,19.65212445
JVASP-7635,Y1 S1 F1,2.1537,2.1537,19.65124896
JVASP-8804,Ag3 Au1 S2,2.1557,2.1557,19.65124896
JVASP-54774,Sb1 H1 O3,2.1526,2.1526,19.65124757
JVASP-26728,Rb1 Au1 S2 O8,2.105,2.0178,19.62750544
JVASP-24633,Bi2 S1 O2,1.9832,1.7284,19.61419774
JVASP-12429,Li2 Pb1 O3,2.1343,2.0974,19.61405382
JVASP-31950,P1 Br7,2.1532,2.1497,19.611835
JVASP-4110,Tl2 Pd1 Cl4,1.3734,0.9382,19.60740227
JVASP-11117,Pr1 Lu1 Se3,1.5852,1.1334,19.59628721
JVASP-31799,Ru1 F6,0.6233,0.6099,19.58308736
JVASP-29559,Fe1 P4,0.83,0.6838,19.57157898
JVASP-55278,Sr3 Dy1 Rh1 O6,2.1371,2.0954,19.55833814
JVASP-5644,Ge1 As1 Se1,2.1346,2.0926,19.55486015
JVASP-32340,V1 Cl3 O1,0.6215,0.6086,19.55273159
JVASP-35385,Rb2 Np1 O4,2.0532,1.8831,19.53832817
JVASP-29246,Th6 Co1 Br15,0.6544,0.613,19.53484133
JVASP-29391,Cu1 Bi1 S1 Cl2,0.651,0.6126,19.52437263
JVASP-35840,Ce1 O2,2.026,1.8183,19.52297088
JVASP-3498,Cd1 In2 Se4,2.1609,2.1609,19.49159359
JVASP-22531,Bi2 S1 O2,1.989,1.7315,19.47611636
JVASP-82,Zr1 S2,1.6301,1.1723,19.46341714
JVASP-55597,In1 Ag1 P2 S6,2.0808,1.9441,19.46003338
JVASP-5146,In1 Ag1 P2 S6,2.0808,1.9441,19.46003338
JVASP-2029,I1 Br1,2.1274,2.0638,19.45728089
JVASP-60798,B1,2.0829,1.9459,19.4562258
JVASP-5194,Sb1 Se1 I1,2.0968,1.9804,19.45470404
JVASP-30691,Bi1 F5,1.2247,0.8476,19.42003795
JVASP-36899,K1 Ge1 Cl3,2.1653,2.1653,19.40954998
JVASP-9928,Bi1 F5,1.2283,0.8497,19.40091196
JVASP-13836,Na2 Li1 N1,1.2775,0.8843,19.39139038
JVASP-3237,Sc1 Tl1 S2,1.8273,1.4281,19.38573936
JVASP-49916,Tb2 Pt2 O7,1.8999,1.5506,19.35383116
JVASP-15758,Na2 Li1 N1,1.2732,0.8796,19.33268001
JVASP-56190,Cu1 I1,2.1706,2.1706,19.32785252
JVASP-59055,Li1 Sb3 O8,2.1677,2.1677,19.32785252
JVASP-12968,Ga2 Te1 O6,2.1685,2.1685,19.32785235
JVASP-3306,Si4 P4 Ru1,1.9987,1.7408,19.3149996
JVASP-34239,Li4 C1 O4,0.7427,0.6343,19.31139002
JVASP-3684,K2 Pt1 Cl6,2.1703,2.1678,19.30037339
JVASP-29315,V2 O5,2.0016,1.7464,19.29934822
JVASP-2433,Ca4 P2 O1,2.0919,1.9559,19.27628154
JVASP-22592,Cu2 W1 S4,1.9779,1.6956,19.25682955
JVASP-1432,Na1 Tl1 O2,2.1356,2.0678,19.25541084
JVASP-11433,Dy2 Cd1 S4,2.1725,2.1725,19.25255555
JVASP-8184,Ga1 P1,2.1751,2.1751,19.25255555
JVASP-32634,Sb1 Cl1 O2 F6,2.174,2.1737,19.24923327
JVASP-12541,Sb1 I3 Cl8,2.1403,2.0784,19.24845927
JVASP-26752,Pr3 Cu1 Si1 S7,2.1658,2.1504,19.23910568
JVASP-2610,K2 Ag1 As1,2.144,2.0872,19.23334346
JVASP-49848,Ho1 Tl1 O2,2.1565,2.1253,19.22336208
JVASP-20757,Na1 B15,0.6645,0.6089,19.19210254
JVASP-41154,Na2 Tl1 Bi1,0.746,0.6335,19.18953392
JVASP-32441,Sb1 S2 N1 Cl6,2.1319,2.0509,19.17681497
JVASP-3783,Ca3 As1 Br3,2.176,2.176,19.17316427
JVASP-22708,Rb4 I2 O1,2.1776,2.1776,19.17316417
JVASP-10544,K2 Na1 Ga1 As2,2.1591,2.122,19.15725674
JVASP-8190,Cu2 W1 S4,1.9084,1.5542,19.15706638
JVASP-8784,Sr1 Ga2 Te4,1.3736,0.9245,19.15615899
JVASP-1177,Ga1 Sb1,0.5935,0.5935,19.1407799
JVASP-20099,Ga1 Sb1,0.5935,0.5935,19.1407799
JVASP-3321,Zn1 Ga2 Te4,2.0044,1.7413,19.1325277
JVASP-30460,Bi1 S2,2.0696,1.8867,19.1259377
JVASP-1363,Tm1 N1,1.7129,1.2559,19.12216955
JVASP-2733,Li2 Ce1 As2,0.6315,0.604,19.11521043
JVASP-16306,Ca1 Te1,0.5923,0.5923,19.09031974
JVASP-10976,Er1 Cu1 S2,2.1417,2.0709,19.07277888
JVASP-36774,H1 Au1 O2,2.0235,1.7787,19.07053935
JVASP-28379,Mo1 S2,1.7956,1.3644,19.07011948
JVASP-10562,Rb2 Nb1 Ag1 Se4,2.1355,2.0514,19.06629989
JVASP-34244,Li4 C1 O4,2.1101,1.9803,19.04053337
JVASP-3885,Tl2 Pt1 Cl6,2.1606,2.1189,19.02731814
JVASP-52490,Zn1 Cu2 O4,0.7578,0.6364,19.02311649
JVASP-4343,S5 N6,2.164,2.1285,19.0167272
JVASP-23439,Te1 O3,2.1866,2.1866,19.01112656
JVASP-9425,Mg1 Sb2 O6,2.1842,2.1842,19.01112653
JVASP-2577,Rb1 Au1 O2,2.1119,1.9785,18.99696889
JVASP-4855,Er1 Ag1 P2 Se6,2.122,2.0043,18.97094341
JVASP-9867,Zn1 Ag2 O4,0.9337,0.685,18.95591284
JVASP-30186,Ti1 Sn1 O3,2.0918,1.9295,18.94974773
JVASP-17700,In1 N1,0.5888,0.5888,18.93911164
JVASP-36659,Zn1 Cd1 Se2,2.1892,2.1892,18.92729644
JVASP-36785,H1 Au1 O2,1.5837,1.1048,18.91374344
JVASP-13305,Zn2 Pt1 O4,1.7935,1.3524,18.89811562
JVASP-36847,Pb1 Au1 O2,1.2906,0.8765,18.88030236
JVASP-8756,Ag2 S1,2.0981,1.9403,18.87872745
JVASP-1981,Zr1 Cl2,1.4317,0.9616,18.8741248
JVASP-9225,Mg1 Sb2 O6,2.1938,2.1938,18.85091744
JVASP-29475,Sn1 S1,1.6391,1.1552,18.84876415
JVASP-35600,Zn1 Cu2 Sn1 S4,0.5852,0.5852,18.84059275
JVASP-52491,Li1 Ag1 F4,0.5854,0.5854,18.84059275
JVASP-8763,Ag2 S1,2.0995,1.9355,18.80262315
JVASP-8490,In1 Se1,1.911,1.5367,18.79325153
JVASP-8179,Sn1 S1,0.5847,0.5847,18.79078507
JVASP-12900,Tl1 I3,2.1563,2.086,18.78540818
JVASP-8098,Ag1 N1 O2,2.0338,1.7804,18.78528066
JVASP-125,Pt1 S2,1.4767,0.9978,18.76194608
JVASP-22642,Cu2 Hg1 I4,0.6798,0.6013,18.7523984
JVASP-7670,Ba1 Se1,2.1011,1.9329,18.75107804
JVASP-57560,Ag2 S1,2.1003,1.9282,18.70316854
JVASP-24595,Y6 U1 O12,2.1973,2.1895,18.68559304
JVASP-3207,Cu1 B1 S2,2.2021,2.2021,18.68520867
JVASP-7791,U1 Cd1 O4,2.1223,1.9803,18.68229204
JVASP-39875,Ir1 Cl3,0.589,0.5833,18.65675017
JVASP-39875,Ir1 Cl3,0.589,0.5833,18.65675017
JVASP-54,Mo1 S2,1.7925,1.3371,18.62190378
JVASP-37308,Sr1 Ga1 Sn1 H1,1.0524,0.7392,18.61090944
JVASP-8302,Sb1 F5,1.8836,1.4781,18.60529648
JVASP-36072,U1 Cd2 O5,2.2056,2.2056,18.60004555
JVASP-8562,Cu1 I1,2.2033,2.2033,18.60004555
JVASP-8701,Rb3 Br1 O1,2.203,2.203,18.60004551
JVASP-2844,K2 Te2 Pt1,1.7839,1.3234,18.59796614
JVASP-18469,Na3 Bi1,0.5785,0.5785,18.59691732
JVASP-2550,Ba1 Ag2 Ge1 S4,2.0575,1.8193,18.58446935
JVASP-9718,Ag1 P1 S3,2.0646,1.8336,18.565068
JVASP-30604,Sb1 F5,1.885,1.4755,18.50430447
JVASP-57066,Na2 Pt1 O3,2.1777,2.1153,18.49525717
JVASP-54803,Ga2 Os1,1.0562,0.738,18.49386647
JVASP-4418,P1 Pd1 Se1,0.5786,0.5768,18.49116194
JVASP-50060,Dy1 Tl1 O2,1.0105,0.714,18.48581638
JVASP-14351,Rb2 Te1 I6,2.0308,1.7506,18.4750482
JVASP-29283,Ni1 O2,0.9392,0.6775,18.47242201
JVASP-51903,Li4 C1 O4,2.1858,2.133,18.44460221
JVASP-22649,Rb2 Sn1 Br6,2.213,2.213,18.4323349
JVASP-34040,Te1 Mo1 S1,1.3217,0.8748,18.42897333
JVASP-30242,V1 P1 O5,2.1877,2.1401,18.41981714
JVASP-8145,Hg1 O1,2.1434,2.0125,18.38383413
JVASP-7837,Si1,1.6043,1.106,18.37345481
JVASP-25149,Si1,1.6044,1.106,18.37102387
JVASP-36304,Mg1 Sn1 P2,2.2159,2.2159,18.35218753
JVASP-8307,Te1 O3,1.6093,1.1105,18.34974968
JVASP-56525,Sr1 Al1 Si1 H1,1.5343,1.0321,18.3429698
JVASP-30615,Te1 O3,1.5882,1.0867,18.33664093
JVASP-2691,Na1 Nb1 S2,1.6539,1.1504,18.32181252
JVASP-36446,Be1 Ge1 P2,1.9804,1.6329,18.29453227
JVASP-29478,In1 Sb2 S4 Br1,2.2197,2.2197,18.27398407
JVASP-29245,U1 Se1 O5,2.2183,2.2173,18.26385436
JVASP-35711,Ga1 Sb1,0.5695,0.5695,18.25443415
JVASP-3018,Yb1 Zn2 P2,1.8913,1.4693,18.24812638
JVASP-2688,Li1 Nb1 S2,0.8918,0.6655,18.23107596
JVASP-10143,Nb1 N1 O1,2.186,2.1126,18.22366419
JVASP-8819,Nb1 O2 F1,2.2215,2.2143,18.20104393
JVASP-3282,Rb2 Pd1 F6,2.2259,2.2259,18.18887524
JVASP-10146,Ti1 Hg1 O3,2.2108,2.1835,18.15229
JVASP-24591,K2 Te1 I6,2.1405,1.9821,18.13579369
JVASP-53404,In5 Cu1 S8,0.6272,0.5861,18.12922398
JVASP-28519,Mo3 Se4 S2,0.5656,0.5656,18.10799591
JVASP-4636,Mg1 Al2 Se4,2.2273,2.2273,18.10628324
JVASP-2487,Na1 Mg1 As1,2.2268,2.2268,18.10628324
JVASP-234,Ni1 O2,0.8721,0.6615,18.10619447
JVASP-3180,K1 Au1 F6,2.1991,2.1428,18.09624417
JVASP-39189,Sb1 S1 I1,2.1494,2.0048,18.0899535
JVASP-39189,Sb1 S1 I1,2.1494,2.0048,18.0899535
JVASP-12195,Ni1 O2,0.8717,0.6613,18.08994067
JVASP-11120,Rb1 Sc5 Te8,0.7873,0.6331,18.08926337
JVASP-4696,Sr1 Li1 P1,2.0333,1.7285,18.08746902
JVASP-8392,Ni1 O2,0.8716,0.661,18.08020421
JVASP-30724,Ni1 O2,0.8718,0.6611,18.075307
JVASP-22668,K4 Zn1 As2,2.2024,2.1494,18.04925625
JVASP-1198,Zn1 Te1,2.2333,2.2333,18.02046978
JVASP-4666,Ga1 Te1,1.5628,1.0468,17.99482943
JVASP-8808,Li1 In1 Se2,1.5099,0.9985,17.99128327
JVASP-57251,Xe1 O3,2.2105,2.1625,17.93998539
JVASP-2199,Mg1 Si1 P2,2.2358,2.2358,17.93228614
JVASP-54897,Zn1 Te1,2.2346,2.2346,17.93228614
JVASP-35744,Ba2 N1 F1,2.2243,2.1983,17.92730955
JVASP-10255,Ba1 Sm2 Pd1 O5,2.2283,2.2101,17.92435565
JVASP-28698,Mo1 W1 Se2 S2,0.5599,0.5599,17.91330188
JVASP-5338,Nb1 S2 Cl2,0.5604,0.5604,17.913225
JVASP-35374,K2 Np1 O4,2.1379,1.96,17.91106985
JVASP-9525,Zn2 Ni3 O8,0.6787,0.5869,17.90154392
JVASP-29148,Mo1 W3 Se8,0.5613,0.5602,17.89545219
JVASP-8571,Ag3 S1 I1,1.9656,1.5761,17.83213326
JVASP-13378,Li2 Cd1 Cl4,2.2413,2.2389,17.82117257
JVASP-61586,Au1 O2 F6,0.5573,0.5573,17.81787221
JVASP-51352,Ag3 S1 I1,1.9659,1.5751,17.81266731
JVASP-8788,Ba1 In2 Te4,1.9204,1.4918,17.80541294
JVASP-28773,Mo1 Se1 S1,0.5571,0.5571,17.77013724
JVASP-12027,Zr1 Br1 N1,2.2441,2.2441,17.75931228
JVASP-3507,Zn1 In2 Se4,2.2457,2.2457,17.75931228
JVASP-22941,Rb3 Sb1 Se4,2.2422,2.2422,17.75931228
JVASP-8816,Ag3 Au1 S2,2.1303,1.9218,17.75679639
JVASP-51768,Ag1 H4 W1 S4 N1,2.1561,1.9879,17.75672233
JVASP-22748,Li2 Ca1 Hf1 F8,2.2166,2.1578,17.75290298
JVASP-23440,Sr2 As1 Au1,1.2785,0.8375,17.74805296
JVASP-3657,Rb2 Pt1 Cl6,2.2429,2.2412,17.74273978
JVASP-57828,Ag1 Hg1 S1 I1,2.2196,2.1641,17.71187605
JVASP-9149,Th3 As4,0.6582,0.5813,17.70492441
JVASP-10018,K2 Si1 As2,2.1245,1.9047,17.69161803
JVASP-12305,Lu6 U1 O12,2.2399,2.2231,17.6801767
JVASP-207,Ge1 S1,1.9052,1.4582,17.66794262
JVASP-24912,B1 Cl1 O2 F4,2.2484,2.2474,17.6605093
JVASP-8288,Bi1 N1,1.2345,0.8063,17.65262495
JVASP-10017,Na1 Ag1 O1,2.2008,2.0997,17.62778514
JVASP-29426,In1 Sb2 S4 Cl1,2.2421,2.2284,17.62606581
JVASP-1792,Cu1 Rh1 O2,1.1935,0.7779,17.60241449
JVASP-58132,Zn1 Ag2 O4,0.9208,0.654,17.59654177
JVASP-10914,Ti1 O2,2.2515,2.2515,17.58339869
JVASP-12679,Ti1 O2,2.2515,2.2515,17.58339869
JVASP-48539,Cr2 O1 F2,0.6063,0.5697,17.55039039
JVASP-26472,Sm3 Cu1 Si1 S7,2.2326,2.1845,17.54294346
JVASP-52866,B4 C1,2.2242,2.1598,17.54104414
JVASP-36492,Sr3 Bi1 P1,0.5502,0.5502,17.5320379
JVASP-25630,Ge1 Cl1 O2 F5,2.2483,2.2324,17.51663091
JVASP-54780,Sb1 H1 O3,2.2555,2.2555,17.49633895
JVASP-3090,Ba1 Hf1 N2,2.2505,2.2405,17.48752411
JVASP-13017,Ga1 Cu1 Cl4,2.2345,2.1891,17.48473656
JVASP-52645,Te1 Pb1,0.606,0.5689,17.46671767
JVASP-8186,Zn1 Te1,2.2585,2.2585,17.40817926
JVASP-60657,In1 Te1 I1,2.2597,2.2597,17.40817926
JVASP-37303,Sn1 I2,1.9476,1.5145,17.39717781
JVASP-25188,Se1,2.2325,2.1652,17.35240847
JVASP-949,O2,2.2598,2.2535,17.3486273
JVASP-4210,Te2 I1,0.8243,0.6368,17.3482903
JVASP-8005,Si1 Os1,0.5582,0.5494,17.29552135
JVASP-1492,Y1 Sb1 Pt1,0.5442,0.5442,17.29083088
JVASP-40764,Zr1 Fe1 Te1,1.7877,1.2595,17.24607075
JVASP-25823,Ag2 Hg1 S1 I2,2.2704,2.2704,17.23541851
JVASP-3228,Sr1 Li1 P1,2.1805,2.0081,17.2331322
JVASP-8645,Ni1 O2,0.9273,0.6477,17.21180444
JVASP-50190,Y1 Tl1 O2,2.2406,2.1745,17.19758931
JVASP-8248,Ni1 O2,0.9269,0.647,17.19733163
JVASP-30560,Ni1 O2,0.9268,0.6469,17.19733163
JVASP-30687,Sb1 O2,2.1456,1.9154,17.18542141
JVASP-10219,Zr1 P2 S6,2.1844,2.012,17.16224349
JVASP-56324,Si2 Ru1,0.8367,0.6367,17.15890414
JVASP-28582,Mo1 Se1 S1,0.5413,0.5413,17.1472926
JVASP-9108,Ru1 Se2,0.8919,0.6432,17.14110046
JVASP-55312,Tl1 V2 Ag1 O6,2.2584,2.2287,17.12741789
JVASP-50474,Er2 Pt2 O7,2.055,1.7015,17.12586062
JVASP-36816,Cd1 Au1 O2,1.9496,1.5008,17.12028866
JVASP-28647,Mo1 W1 Se1 S3,0.5542,0.544,17.06839091
JVASP-2050,Y1 H1 Se1,2.2767,2.2767,17.06045314
JVASP-20215,Sr3 P14,2.2426,2.1699,17.05246522
JVASP-25289,C1,2.2312,2.1327,17.04285923
JVASP-13254,Nb1 Bi3 O7,2.1852,2.0014,17.04011061
JVASP-53457,Pr2 Pb1 Se4,2.2288,2.122,17.03913095
JVASP-34687,Tl2 C1 S3,2.231,2.1297,17.01508321
JVASP-57177,Pd1 Se1 O4,0.8639,0.6383,17.00283093
JVASP-122,Sn1 Se2,1.6977,1.1417,16.99955911
JVASP-13286,Nb1 Bi3 O7,2.1927,2.0172,16.99216335
JVASP-49911,Nb1 N1 O1,2.1973,2.026,16.96507251
JVASP-36484,Sr3 Sb2,0.5366,0.5366,16.95558782
JVASP-8093,Ba1 Ce1 O3,2.27,2.2348,16.90732045
JVASP-8029,Ba1 Ti1 O3,2.1964,2.0187,16.89779749
JVASP-40806,Zr1 In1 Au1,0.5775,0.5491,16.887751
JVASP-8684,Mg2 Al2 Se5,2.2839,2.2839,16.88226346
JVASP-1411,Li1 N3,2.2255,2.0955,16.88141997
JVASP-36483,Ba3 Sb2,0.5336,0.5336,16.85811668
JVASP-22622,Al1 Fe1 F5,0.6048,0.558,16.85118409
JVASP-2355,Zn1 Ge1 P2,2.1667,1.9322,16.81699452
JVASP-3462,Li1 In1 Te2,2.2901,2.2901,16.79302575
JVASP-11160,Hg2 Ge1 O4,2.2884,2.2884,16.79302575
JVASP-33818,Br1 Cl1,2.2883,2.2883,16.79302575
JVASP-3492,Rb1 In1 Te2,2.125,1.8288,16.79071401
JVASP-7696,Na5 Cu1 S1 O2,2.2775,2.2479,16.78849322
JVASP-52912,Mg2 Ni1 H4,2.1659,1.9283,16.78275665
JVASP-1585,K1 Tl1 O2,2.2463,2.1529,16.76857574
JVASP-26948,Rb7 Au5 O2,1.8736,1.3549,16.76110126
JVASP-28399,W1 S2,2.0974,1.7626,16.76012366
JVASP-290,Sn1 S2,2.1822,1.9637,16.73606227
JVASP-36325,Hf1 N2,1.1973,0.7576,16.73492674
JVASP-34235,Li4 C1 O4,2.2813,2.2549,16.72848014
JVASP-36918,Ba1 Hf1 S3,1.797,1.2442,16.72336477
JVASP-3312,Na2 Cu1 As1,2.1804,1.9606,16.72205588
JVASP-25802,Y3 Cu1 Ge1 S7,2.2938,2.2938,16.71390478
JVASP-828,B1,2.1112,1.7863,16.68433808
JVASP-8060,Na1 Cu1 O2,0.8989,0.6339,16.67618676
JVASP-13333,Nd5 Ag1 Se8,2.0775,1.7146,16.65941273
JVASP-3525,K2 Pt1 Cl4,2.2693,2.2048,16.63426278
JVASP-7802,Se1,2.2414,2.1175,16.63204284
JVASP-34267,Li4 C1 O4,2.2995,2.2995,16.62994961
JVASP-36511,Ba3 As1 N1,0.5281,0.5281,16.61645284
JVASP-10704,K2 Sn1 As2 S6,2.1819,1.952,16.61318272
JVASP-7818,P1,2.1208,1.8029,16.59501461
JVASP-10168,Zn1 Ag2 O4,0.7063,0.5695,16.58291478
JVASP-8201,Dy1 Cu1 Se1 O1,2.3015,2.3015,16.54153205
JVASP-34222,Li4 C1 O4,2.3029,2.3019,16.53273336
JVASP-22697,Sb1 O2 F1,2.2901,2.2596,16.51889542
JVASP-10271,K3 Sb1 Se4,2.305,2.305,16.44979312
JVASP-5833,As8 S9,2.3072,2.3072,16.44979312
JVASP-56632,Ba1 Mo4 P2 O16,2.2943,2.2635,16.43894033
JVASP-10581,Lu1 P5,1.202,0.7523,16.42553494
JVASP-52212,Li4 Cu1 P2 O8,0.5679,0.5376,16.4240411
JVASP-53442,Nd2 Pb1 Se4,2.2506,2.1281,16.4092889
JVASP-11145,Ba2 Mg1 U1 O6,2.3083,2.3025,16.39914615
JVASP-10698,Sm3 Au1 O6,2.26,2.1521,16.38844605
JVASP-1771,Tm1 Ag1 Te2,1.8213,1.2571,16.38662307
JVASP-5371,S3 N2 Cl2,2.1126,1.7669,16.37703959
JVASP-28529,Mo1 W2 Se4 S2,0.5227,0.5227,16.36825877
JVASP-8076,Cd1 Ge1 As2,0.5228,0.5228,16.36825321
JVASP-52225,Ti1 Sn1 O4,2.3107,2.3107,16.36400232
JVASP-36452,Ba3 P1 N1,0.5218,0.5218,16.31940087
JVASP-36475,Sr3 As2,0.5212,0.5212,16.31940087
JVASP-30535,Mg1 Sb4 O8,2.2516,2.1182,16.30487205
JVASP-62644,Ba1 Ti1 B2 O6,2.3014,2.274,16.30046459
JVASP-62630,Ba1 Ti1 B2 O6,2.3017,2.2742,16.29958017
JVASP-28452,W1 S2,2.0556,1.638,16.28413579
JVASP-40842,Ba1 Na1 Sb1,1.34,0.8168,16.27553868
JVASP-37423,W1 S1 Cl4,2.3133,2.3133,16.26815804
JVASP-7692,Ga1 Cu1 O2,1.7735,1.1909,16.25957539
JVASP-44760,Te3 W1 O12,2.3053,2.2831,16.25596445
JVASP-4591,Tl6 Te1 O6,2.289,2.2288,16.25200186
JVASP-5203,Sb1 S1 I1,2.2572,2.1257,16.24483788
JVASP-28376,Mo1 Se1 S1,0.5205,0.5199,16.23379141
JVASP-22669,W1 Cl6,2.3032,2.2651,16.20631657
JVASP-36835,Na1 Au1 O2,2.1935,1.9401,16.16809468
JVASP-12897,Pd2 Cl2 O1,0.5206,0.5186,16.14937496
JVASP-25580,K2 Ce1 Si6 O15,2.3055,2.2705,16.14419718
JVASP-7998,U1 O3,0.5677,0.5326,16.14307753
JVASP-1513,Ti1 Co1 Sb1,1.6637,1.0653,16.11484685
JVASP-49834,Li1 Nb1 Te3 O12,2.3022,2.2523,16.10253064
JVASP-2121,As2 Ru1,0.9328,0.6259,16.09411641
JVASP-3924,U1 O2 F2,2.3224,2.3224,16.08869666
JVASP-54456,In1 Ag1 W2 O8,2.2967,2.2356,16.08843529
JVASP-10736,Mg1 Sb4 O8,2.2643,2.1308,16.07081603
JVASP-1909,Na1 In1 Se2,2.2253,2.0145,16.06955276
JVASP-49993,Lu1 Tl1 O2,2.2466,2.0803,16.06535846
JVASP-4204,Pd1 Br2,0.8973,0.6206,16.05007784
JVASP-3999,Na4 Hg1 P2,2.1679,1.8677,16.0305301
JVASP-57362,Li1 Ga1 Mo2 O8,0.5383,0.5212,16.02595317
JVASP-62413,Au1 C1 S2 Cl3,2.3139,2.2852,16.02135015
JVASP-29200,Te2 Mo3 W1 Se6,0.5151,0.5151,16.02130305
JVASP-56219,Li1 B6 C1,2.0376,1.581,15.98784534
