JID,Formula,Dir.gap (eV),Indir. gap (eV),Eff (%)
JVASP-33832,H16 Rh1 N5 Cl6 O3,1.7029,1.7029,29.15265448
JVASP-24321,Na1 P1 Pd1 S4,1.4634,1.3389,29.14877006
JVASP-5602,Nb3 Te1 Cl7,0.8868,0.8863,29.14653604
JVASP-7803,Cd1 Te1,1.0947,1.0019,29.12777739
JVASP-8793,K2 Na1 As1,1.704,1.704,29.12148937
JVASP-34071,Te4 Mo3 S2,1.0956,1.0015,29.09701347
JVASP-40763,K1 Ba1 P1,1.6616,1.6257,29.09235819
JVASP-9785,K1 V1 Cu2 S4,1.1027,1.0033,29.09152097
JVASP-35137,Ce1 Zr1 O4,1.7074,1.7073,29.08460782
JVASP-56315,Ba1 Ag2 Ge1 Se4,0.8847,0.8847,29.08218821
JVASP-35506,Sr4 Bi2 O1,1.442,1.3088,29.06609924
JVASP-152,Si1 P2,1.6577,1.6184,29.05731569
JVASP-10298,K2 V1 Ag1 S4,1.5199,1.4075,29.02490175
JVASP-36677,Ti1 P1 N3,0.8829,0.8829,28.9933937
JVASP-25601,K1 Cu4 As1 S4,1.6225,1.5634,28.98296832
JVASP-57818,Li2 S1 O4,0.9079,0.8837,28.97431421
JVASP-3159,Rb2 Pd3 S4,1.2881,1.1653,28.95864651
JVASP-60,Te2 Mo1,1.1067,1.001,28.95225509
JVASP-60,Te2 Mo1,1.1067,1.001,28.95225509
JVASP-3486,Cd1 In2 Te4,1.7152,1.7152,28.94927014
JVASP-51902,Rb4 C1 O4,1.7168,1.7168,28.94927014
JVASP-36700,Ba1 W1 N3,1.6905,1.6721,28.92885114
JVASP-36784,Li1 Ag1 O2,1.3048,1.174,28.92872635
JVASP-34002,Te4 Mo3 S2,1.1765,1.0548,28.92784484
JVASP-42418,V1 O2 F1,1.2926,1.1672,28.91819592
JVASP-59085,Ba1 Pd1 Cl4,0.8807,0.8807,28.90486273
JVASP-5590,P2 Se5,1.719,1.719,28.90234758
JVASP-46920,Li2 V1 O3 F1,1.5525,1.4499,28.9012395
JVASP-35038,Pr1 Te1 Cl1,0.8804,0.8804,28.87568427
JVASP-35027,Pd1 Cl2,1.0109,0.9433,28.86848652
JVASP-5536,Cu2 S1 O4,1.6705,1.6322,28.86107719
JVASP-9247,Te1 O3,1.6159,1.5503,28.85692656
JVASP-29248,Hg2 P3 Br1,1.7243,1.7243,28.84030645
JVASP-56854,Rb2 Li1 Dy1 Br6,1.7233,1.7233,28.84030645
JVASP-28513,Mo1 W2 Se6,1.4467,1.3071,28.83944719
JVASP-4957,Ti1 Pb1 O3,1.7094,1.6993,28.83226744
JVASP-36699,Ca1 Mo1 N3,1.3619,1.2092,28.8313212
JVASP-11696,K3 Cr1 O8,1.6023,1.5273,28.83121003
JVASP-62652,Li2 B2 S5,1.6923,1.6711,28.82470068
JVASP-45237,Li1 Ti1 V3 O10,1.7252,1.7252,28.81800505
JVASP-28454,Te2 W1,1.2031,1.0774,28.8035477
JVASP-8761,Ag2 S1,1.2091,1.0831,28.79276165
JVASP-36830,Cu1 Bi1 O2,0.9316,0.8844,28.79257302
JVASP-35212,K1 Li1 I1 Cl1,1.7285,1.7285,28.78739248
JVASP-62325,K2 As1 Au1 S4,1.73,1.73,28.75080532
JVASP-5629,Ta3 Se1 I7,0.882,0.8774,28.73441678
JVASP-22560,K2 Pd1 O2,1.6378,1.5667,28.71783281
JVASP-27144,K2 Pd1 O2,1.6276,1.556,28.71251115
JVASP-13945,Ta3 Se1 I7,0.8813,0.8766,28.70002841
JVASP-33798,Se1 I2,1.5498,1.4369,28.67812699
JVASP-57099,Yb2 Pr1 Dy1 S6,1.6758,1.6338,28.65179754
JVASP-11206,Rb2 V1 Ag1 Se4,1.2848,1.1541,28.64071523
JVASP-9279,Ca1 Bi4 O8,1.0522,0.9696,28.64026378
JVASP-3537,Te1 Rh1 Cl1,0.9568,0.8957,28.59608794
JVASP-36829,Cu1 Bi1 O2,1.5039,1.3721,28.5707927
JVASP-12891,Pt1 I3,0.9426,0.885,28.52253731
JVASP-5668,Ta1 Cl4,1.7149,1.6945,28.50845562
